Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,Overs,Mdns,Wkts,BBI,bowling_Ave,Econ,bowling_SR,4,5,Ct,St,num_years,matched_name,batsman_points,bowler_points,batsman_points_per_year,bowler_points_per_year
Amir Hamza,2014-2016,5,2,1,4,3*,4.00,8,50.00,0,0,0,0,0,Afghanistan,19.0,0,5,2/32,27.00,7.10,22.8,0,0,0,0,2,NA,2,25,1.0,12.5
Asghar Afghan,2010-2016,13,12,1,246,62,22.36,247,99.59,0,2,1,9,11,Afghanistan,0.4,0,1,1/4,4.00,6.00,4.0,0,0,4,0,4,Asghar Afghan,347,5,86.75,1.25
Dawlat Zadran,2012-2016,10,8,4,17,8,4.25,22,77.27,0,0,2,2,0,Afghanistan,34.0,0,6,1/22,45.83,8.08,34.0,0,0,1,0,3,Dawlat Zadran,21,30,7.0,10.0
Gulbadin Naib,2012-2016,10,9,1,127,44,15.87,128,99.21,0,0,1,13,5,Afghanistan,9.2,0,2,1/13,49.00,10.50,28.0,0,0,2,0,3,Gulbadin Naib,194,10,64.66666666666667,3.3333333333333335
Hamid Hassan,2010-2016,6,2,0,28,22,14.00,26,107.69,0,0,0,2,2,Afghanistan,20.3,0,7,3/21,16.28,5.56,17.5,0,0,1,0,4,Hamid Hassan,51,35,12.75,8.75
Karim Sadiq,2010-2016,7,7,0,51,26,7.28,83,61.44,0,0,2,5,0,Afghanistan,14.0,0,1,1/33,117.00,8.35,84.0,0,0,1,0,4,Karim Sadiq,64,5,16.0,1.25
Mirwais Ashraf,2010-2014,2,2,1,25,23,25.00,27,92.59,0,0,0,1,2,Afghanistan,6.0,0,1,1/14,32.00,5.33,36.0,0,0,0,0,3,Owais Shah,38,5,12.666666666666666,1.6666666666666667
Mohammad Nabi,2010-2016,14,14,1,147,52,11.30,127,115.74,0,1,2,10,5,Afghanistan,53.0,1,17,4/20,22.00,7.05,18.7,1,0,7,0,4,Mohammad Nabi,217,110,54.25,27.5
Mohammad Shahzad,2010-2016,14,14,0,323,68,23.07,261,123.75,0,2,1,34,15,Afghanistan,-,-,-,-,-,-,-,-,-,4,5,4,Mohammad Shahzad,530,0,132.5,0.0
Najibullah Zadran,2012-2016,10,7,3,113,48*,28.25,76,148.68,0,0,0,12,4,Afghanistan,-,-,-,-,-,-,-,-,-,3,0,3,Najibullah Zadran,178,0,59.333333333333336,0.0
Nawroz Mangal,2010-2014,6,6,0,41,22,6.83,50,82.00,0,0,1,4,1,Afghanistan,3.5,0,1,1/20,34.00,8.86,23.0,0,0,5,0,3,Nawroz Mangal,57,5,19.0,1.6666666666666667
Noor Ali Zadran,2010-2016,8,8,0,174,50,21.75,180,96.66,0,1,1,13,2,Afghanistan,-,-,-,-,-,-,-,-,-,1,0,4,Noor Ali Zadran,228,0,57.0,0.0
Samiullah Shinwari,2010-2016,14,11,0,159,43,14.45,140,113.57,0,0,0,13,4,Afghanistan,43.0,0,5,1/11,56.60,6.58,51.6,0,0,3,0,4,Samiullah Shinwari,227,25,56.75,6.25
Shafiqullah,2012-2016,11,11,3,181,51*,22.62,129,140.31,0,1,1,17,8,Afghanistan,-,-,-,-,-,-,-,-,-,2,0,3,Shafiqullah,290,0,96.66666666666667,0.0
Shapoor Zadran,2010-2016,9,7,4,12,9,4.00,36,33.33,0,0,0,0,1,Afghanistan,28.0,1,9,2/19,23.00,7.39,18.6,0,0,2,0,4,Shapoor Zadran,16,55,4.0,13.75
Aizaz Khan,2014-2016,5,4,3,8,7*,8.00,11,72.72,0,0,1,1,0,HongKong,15.0,0,4,2/33,29.75,7.93,22.5,0,0,1,0,2,Nizakat Khan,9,20,4.5,10.0
JJ Atkinson,2014-2016,6,6,0,126,53,21.00,124,101.61,0,1,0,14,3,HongKong,-,-,-,-,-,-,-,-,-,2,0,2,Jamie Atkinson,196,0,98.0,0.0
Babar Hayat,2014-2016,6,6,0,50,20,8.33,56,89.28,0,0,1,7,0,HongKong,-,-,-,-,-,-,-,-,-,2,0,2,Babar Hayat,69,0,34.5,0.0
MS Chapman,2014-2016,6,6,0,123,40,20.50,131,93.89,0,0,0,7,3,HongKong,2.0,0,0,-,-,9.50,-,0,0,1,0,2,Mark Chapman,160,0,80.0,0.0
Haseeb Amjad,2014-2016,5,3,3,23,12*,-,21,109.52,0,0,0,1,1,HongKong,15.0,0,4,3/25,34.25,9.13,22.5,0,0,1,0,2,NA,37,20,18.5,10.0
Nadeem Ahmed,2014-2016,6,2,1,7,5,7.00,13,53.84,0,0,0,0,0,HongKong,20.3,0,9,4/21,15.44,6.78,13.6,1,0,3,0,2,Nadeem Ahmed,5,60,2.5,30.0
Nizakat Khan,2014-2016,6,6,0,46,17,7.66,47,97.87,0,0,2,0,3,HongKong,6.0,0,3,3/19,14.00,7.00,12.0,0,0,3,0,2,Nizakat Khan,62,15,31.0,7.5
