Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country
AB Agarkar,2007-2007,3,2,0,15,14,7.50,11,136.36,0,0,0,2,0,India
R Ashwin,2012-2016,15,4,3,33,16*,33.00,37,89.18,0,0,0,2,1,India
L Balaji,2012-2012,4,-,-,-,-,-,-,-,-,-,-,-,-,India
JJ Bumrah,2016-2016,5,1,1,0,0*,-,2,0.00,0,0,0,0,0,India
PP Chawla,2010-2012,4,-,-,-,-,-,-,-,-,-,-,-,-,India
S Dhawan,2014-2016,7,7,0,74,30,10.57,89,83.14,0,0,1,9,2,India
MS Dhoni,2007-2016,33,29,14,529,45,35.26,427,123.88,0,0,0,36,16,India
AB Dinda,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,India
G Gambhir,2007-2012,21,20,0,524,75,26.20,444,118.01,0,4,2,61,6,India
Harbhajan Singh,2007-2012,19,8,3,63,14,12.60,51,123.52,0,0,0,7,3,India
RA Jadeja,2009-2016,17,7,2,56,25,11.20,66,84.84,0,0,1,3,0,India
Joginder Sharma,2007-2007,4,-,-,-,-,-,-,-,-,-,-,-,-,India
KD Karthik,2007-2010,6,5,0,57,17,11.40,51,111.76,0,0,1,9,0,India
Z Khan,2009-2012,12,4,2,13,9,6.50,10,130.00,0,0,0,0,1,India
V Kohli,2012-2016,16,16,7,777,89*,86.33,584,133.04,0,9,0,73,19,India
B Kumar,2014-2014,6,1,1,0,0*,-,1,0.00,0,0,0,0,0,India
P Kumar,2010-2010,2,-,-,-,-,-,-,-,-,-,-,-,-,India
A Mishra,2014-2014,6,-,-,-,-,-,-,-,-,-,-,-,-,India
Mohammed Shami,2014-2014,3,-,-,-,-,-,-,-,-,-,-,-,-,India
A Nehra,2010-2016,10,3,0,0,0,0.00,7,0.00,0,0,3,0,0,India
PP Ojha,2009-2009,3,-,-,-,-,-,-,-,-,-,-,-,-,India
MK Pandey,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-,India
HH Pandya,2016-2016,5,2,0,16,15,8.00,14,114.28,0,0,0,2,1,India
IK Pathan,2007-2012,15,10,5,86,31,17.20,74,116.21,0,0,0,6,4,India
YK Pathan,2007-2010,11,9,2,122,33*,17.42,82,148.78,0,0,1,7,7,India
AM Rahane,2014-2016,4,4,0,94,40,23.50,89,105.61,0,0,0,6,1,India
SK Raina,2009-2016,26,21,3,453,101,25.16,348,130.17,1,1,1,47,12,India
V Sehwag,2007-2012,9,8,0,187,68,23.37,144,129.86,0,1,0,19,6,India
I Sharma,2009-2009,5,-,-,-,-,-,-,-,-,-,-,-,-,India
MM Sharma,2014-2014,3,-,-,-,-,-,-,-,-,-,-,-,-,India
RG Sharma,2007-2016,28,25,8,673,79*,39.58,529,127.22,0,6,0,59,24,India
RP Singh,2007-2009,9,2,2,3,2*,-,3,100.00,0,0,0,0,0,India
S Sreesanth,2007-2007,7,2,2,20,19*,-,13,153.84,0,0,0,4,0,India
RV Uthappa,2007-2007,7,6,0,113,50,18.83,100,113.00,0,1,1,8,6,India
M Vijay,2010-2010,4,4,0,57,48,14.25,68,83.82,0,0,1,2,3,India
R Vinay Kumar,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,India
Yuvraj Singh,2007-2016,31,28,3,593,70,23.72,460,128.91,0,4,0,38,33,India
Aftab Alam,2014-2014,1,1,1,0,0*,-,1,0.00,0,0,0,0,0,Afghanistan
Amir Hamza,2014-2016,5,2,1,4,3*,4.00,8,50.00,0,0,0,0,0,Afghanistan
Asghar Afghan,2010-2016,13,12,1,246,62,22.36,247,99.59,0,2,1,9,11,Afghanistan
Dawlat Ahmadzai,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Afghanistan
Dawlat Zadran,2012-2016,10,8,4,17,8,4.25,22,77.27,0,0,2,2,0,Afghanistan
Gulbadin Naib,2012-2016,10,9,1,127,44,15.87,128,99.21,0,0,1,13,5,Afghanistan
Hamid Hassan,2010-2016,6,2,0,28,22,14.00,26,107.69,0,0,0,2,2,Afghanistan
Izatullah Dawlatzai,2012-2012,1,1,1,0,0*,-,3,0.00,0,0,0,0,0,Afghanistan
Karim Sadiq,2010-2016,7,7,0,51,26,7.28,83,61.44,0,0,2,5,0,Afghanistan
Mirwais Ashraf,2010-2014,2,2,1,25,23,25.00,27,92.59,0,0,0,1,2,Afghanistan
Mohammad Nabi,2010-2016,14,14,1,147,52,11.30,127,115.74,0,1,2,10,5,Afghanistan
Mohammad Shahzad,2010-2016,14,14,0,323,68,23.07,261,123.75,0,2,1,34,15,Afghanistan
Najeeb Tarakai,2014-2014,2,2,0,14,7,7.00,17,82.35,0,0,0,2,0,Afghanistan
Najibullah Zadran,2012-2016,10,7,3,113,48*,28.25,76,148.68,0,0,0,12,4,Afghanistan
Nawroz Mangal,2010-2014,6,6,0,41,22,6.83,50,82.00,0,0,1,4,1,Afghanistan
Noor Ali Zadran,2010-2016,8,8,0,174,50,21.75,180,96.66,0,1,1,13,2,Afghanistan
Raees Ahmadzai,2010-2010,2,2,1,9,5*,9.00,7,128.57,0,0,0,1,0,Afghanistan
