Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,country
AB Agarkar,2007-2007,3,2,8.0,0,75,1,1/35,75.00,9.37,48.0,0,0,0,0,India
R Ashwin,2012-2016,15,15,54.0,0,334,20,4/11,16.70,6.18,16.2,1,0,4,0,India
L Balaji,2012-2012,4,4,12.0,0,88,9,3/19,9.77,7.33,8.0,0,0,0,0,India
JJ Bumrah,2016-2016,5,5,20.0,0,153,4,1/15,38.25,7.65,30.0,0,0,0,0,India
PP Chawla,2010-2012,4,4,12.0,1,82,3,2/13,27.33,6.83,24.0,0,0,2,0,India
S Dhawan,2014-2016,7,-,-,-,-,-,-,-,-,-,-,-,3,0,India
MS Dhoni,2007-2016,33,-,-,-,-,-,-,-,-,-,-,-,21,11,India
AB Dinda,2012-2012,1,1,2.0,0,26,1,1/26,26.00,13.00,12.0,0,0,0,0,India
G Gambhir,2007-2012,21,-,-,-,-,-,-,-,-,-,-,-,8,0,India
Harbhajan Singh,2007-2012,19,18,69.0,4,468,16,4/12,29.25,6.78,25.8,1,0,6,0,India
RA Jadeja,2009-2016,17,17,57.0,1,428,14,3/48,30.57,7.50,24.4,0,0,10,0,India
Joginder Sharma,2007-2007,4,4,14.3,0,138,4,2/20,34.50,9.51,21.7,0,0,2,0,India
KD Karthik,2007-2010,6,-,-,-,-,-,-,-,-,-,-,-,4,2,India
Z Khan,2009-2012,12,12,38.4,0,322,12,4/19,26.83,8.32,19.3,1,0,2,0,India
V Kohli,2012-2016,16,3,5.4,0,46,2,1/15,23.00,8.11,17.0,0,0,9,0,India
B Kumar,2014-2014,6,6,19.0,0,103,4,1/7,25.75,5.42,28.5,0,0,1,0,India
P Kumar,2010-2010,2,2,4.0,0,17,2,2/14,8.50,4.25,12.0,0,0,0,0,India
A Mishra,2014-2014,6,6,22.0,1,147,10,3/26,14.70,6.68,13.2,0,0,0,0,India
Mohammed Shami,2014-2014,3,3,10.0,0,87,2,1/29,43.50,8.70,30.0,0,0,0,0,India
A Nehra,2010-2016,10,10,39.0,1,269,15,3/19,17.93,6.89,15.6,0,0,1,0,India
