Player,num_years,bowler_points,bowler_points_per_year,Econ,bowling_SR,Wkts,bowling_Ave,country
BAW Mendis,4,245,61.25,6.70,13.4,35,15.02,SriLanka
Saeed Ajmal,4,235,58.75,6.79,14.8,36,16.86,Pakistan
Imran Tahir,2,105,52.5,5.94,12.0,18,11.88,SouthAfrica
S Badree,3,145,48.333333333333336,5.52,14.7,24,13.58,WestIndies
Al-Amin Hossain,2,90,45.0,7.86,14.5,18,19.00,Bangladesh
GP Swann,3,130,43.333333333333336,6.50,15.0,22,16.27,England
SL Malinga,5,215,43.0,7.43,16.2,38,20.07,SriLanka
Umar Gul,5,215,43.0,7.30,14.1,35,17.25,Pakistan
Ahsan Malik,2,85,42.5,6.61,12.9,12,14.25,Netherlands
RP Singh,2,85,42.5,6.41,12.4,14,13.28,India
SP Narine,2,85,42.5,5.17,17.8,15,15.40,WestIndies
HMRKB Herath,3,120,40.0,6.02,16.3,13,16.46,SriLanka
Shahid Afridi,6,235,39.166666666666664,6.71,20.7,39,23.25,Pakistan
R Ashwin,3,115,38.333333333333336,6.18,16.2,20,16.70,India
MA Starc,2,75,37.5,7.75,16.0,15,20.66,Australia
DW Steyn,5,175,35.0,6.96,16.6,30,19.30,SouthAfrica
T Panyangara,2,70,35.0,7.69,15.3,9,19.66,Zimbabwe
SCJ Broad,5,170,34.0,7.72,17.3,30,22.36,England
Harbhajan Singh,4,135,33.75,6.78,25.8,16,29.25,India
MG Johnson,3,100,33.333333333333336,6.72,15.6,20,17.55,Australia
T van der Gugten,2,65,32.5,6.90,13.8,13,15.92,Netherlands
JP Faulkner,2,65,32.5,7.90,12.6,8,16.62,Australia
RJ Sidebottom,2,65,32.5,7.42,14.2,13,17.61,England
CJ Jordan,2,65,32.5,7.92,20.0,10,26.40,England
Shakib Al Hasan,6,180,30.0,6.64,17.6,30,19.53,Bangladesh
M Morkel,5,150,30.0,7.21,15.6,24,18.83,SouthAfrica
Nadeem Ahmed,2,60,30.0,6.78,13.6,9,15.44,HongKong
