Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,num_seasons,Role,mean_rating,median_rating
MS Dhoni,2007-2019,29,25,7,780,91*,43.33,867,89.96,0,5,2,59,15,India,-,-,-,-,-,-,-,-,-,-,34,8,4,Wicket Keeper,63.70634920634921,61.85714285714286
KS More,1987-1992,14,10,5,100,42*,20,86,116.27,0,0,1,10,1,India,-,-,-,-,-,-,-,-,-,-,12,6,2,Wicket Keeper,100.0,100.0
AC Gilchrist,1999-2007,31,31,1,1085,149,36.16,1107,98.01,1,8,1,141,19,Australia,-,-,-,-,-,-,-,-,-,-,45,7,3,Wicket Keeper,20.13227513227513,14.285714285714285
BJ Haddin,2011-2015,15,11,2,458,88,50.88,501,91.41,0,4,0,56,9,Australia,-,-,-,-,-,-,-,-,-,-,29,0,2,Wicket Keeper,50.95238095238096,50.95238095238096
IA Healy,1992-1996,14,11,2,110,31,12.22,124,88.7,0,0,1,6,1,Australia,-,-,-,-,-,-,-,-,-,-,18,3,2,Wicket Keeper,58.75,58.75
Mushfiqur Rahim,2007-2019,29,28,5,877,102*,38.13,1104,79.43,1,6,2,71,10,Bangladesh,-,-,-,-,-,-,-,-,-,-,21,7,4,Wicket Keeper,55.39682539682539,47.22222222222222
JC Buttler,2015-2019,17,14,1,453,103,34.84,358,126.53,1,3,0,39,10,England,-,-,-,-,-,-,-,-,-,-,20,2,2,Wicket Keeper,56.77777777777778,56.77777777777778
AJ Stewart,1992-2003,25,22,1,606,88,28.85,985,61.52,0,4,2,58,2,England,-,-,-,-,-,-,-,-,-,-,21,2,4,Wicket Keeper,49.61309523809523,47.14285714285714
Kamran Akmal,2007-2011,11,10,1,249,55,27.66,352,70.73,0,1,1,34,0,Pakistan,-,-,-,-,-,-,-,-,-,-,11,6,2,Wicket Keeper,75.63492063492063,75.63492063492063
Moin Khan,1992-1999,20,14,4,286,63,28.6,269,106.31,0,1,0,23,7,Pakistan,-,-,-,-,-,-,-,-,-,-,23,7,3,Wicket Keeper,40.83333333333333,40.83333333333333
Rashid Latif,1996-2003,12,7,1,148,36,24.66,133,111.27,0,0,2,10,5,Pakistan,-,-,-,-,-,-,-,-,-,-,14,3,3,Wicket Keeper,81.42857142857143,81.42857142857143
Sarfaraz Ahmed,2015-2019,11,11,4,303,101*,43.28,353,85.83,1,1,0,21,3,Pakistan,-,-,-,-,-,-,-,-,-,-,19,1,2,Wicket Keeper,74.1111111111111,74.1111111111111
MV Boucher,1999-2007,25,19,5,381,75*,27.21,405,94.07,0,2,2,26,15,SouthAfrica,-,-,-,-,-,-,-,-,-,-,31,0,3,Wicket Keeper,61.058201058201064,54.28571428571429
Q de Kock,2015-2019,17,17,2,450,78*,30,526,85.55,0,4,1,55,4,SouthAfrica,-,-,-,-,-,-,-,-,-,-,18,1,2,Wicket Keeper,65.1111111111111,65.1111111111111
RS Kaluwitharana,1996-1999,11,11,1,163,57,16.3,178,91.57,0,1,2,23,2,SriLanka,-,-,-,-,-,-,-,-,-,-,8,4,2,Wicket Keeper,70.0,70.0
KC Sangakkara,2003-2015,37,35,8,1532,124,56.74,1770,86.55,5,7,1,147,14,SriLanka,-,-,-,-,-,-,-,-,-,-,41,13,4,Wicket Keeper,21.82539682539683,22.222222222222214
RD Jacobs,1999-2003,11,8,4,270,80*,67.5,500,54.0,0,3,1,21,4,WestIndies,-,-,-,-,-,-,-,-,-,-,21,1,2,Wicket Keeper,66.30952380952381,66.30952380952381
D Ramdin,2007-2015,16,12,2,191,52,19.1,245,77.95,0,2,2,20,0,WestIndies,-,-,-,-,-,-,-,-,-,-,26,0,3,Wicket Keeper,73.33333333333333,73.33333333333333
BRM Taylor,2007-2015,15,15,0,690,138,46,778,88.68,2,3,1,68,14,Zimbabwe,3,0,23,0,-,-,7.66,-,0,0,8,1,3,Wicket Keeper,61.74603174603176,58.88888888888889
A Bagai,2003-2011,15,15,2,343,84,26.38,556,61.69,0,2,1,38,0,Canada,-,-,-,-,-,-,-,-,-,-,19,2,3,Wicket Keeper,77.5132275132275,81.1111111111111
