Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country
S Abid Ali,1975-1975,3,1,0,70,70,70.00,98,71.42,0,1,0,5,1,India
AB Agarkar,1999-2007,6,3,0,11,10,3.66,32,34.37,0,0,1,0,0,India
M Amarnath,1975-1983,14,12,0,254,80,21.16,545,46.60,0,1,0,15+,1+,India
PK Amre,1992-1992,4,3,1,27,22,13.50,40,67.50,0,0,0,0,0,India
SA Ankola,1996-1996,1,-,-,-,-,-,-,-,-,-,-,-,-,India
R Ashwin,2011-2015,10,6,5,40,16*,40.00,61,65.57,0,0,0,1,0,India
KBJ Azad,1983-1983,3,2,0,15,15,7.50,21,71.42,0,0,1,1,0,India
M Azharuddin,1987-1999,30,25,4,826,93,39.33,1066,77.48,0,8,2,69,5,India
ST Banerjee,1992-1992,2,2,1,36,25*,36.00,25,144.00,0,0,0,2,1,India
BS Bedi,1975-1979,5,4,1,25,13,8.33,53,47.16,0,0,0,1,0,India
RMH Binny,1983-1987,9,7,0,73,27,10.42,139,52.51,0,0,2,4+,0+,India
JJ Bumrah,2019-2019,9,3,3,1,1*,-,1,100.00,0,0,0,0,0,India
YS Chahal,2019-2019,8,1,0,5,5,5.00,5,100.00,0,0,0,1,0,India
PP Chawla,2011-2011,3,1,0,2,2,2.00,4,50.00,0,0,0,0,0,India
N Chopra,1999-1999,1,-,-,-,-,-,-,-,-,-,-,-,-,India
S Dhawan,2015-2019,10,10,0,537,137,53.70,570,94.21,3,1,0,65,9,India
MS Dhoni,2007-2019,29,25,7,780,91*,43.33,867,89.96,0,5,2,59,15,India
R Dravid,1999-2007,22,21,7,860,145,61.42,1147,74.97,2,6,0,76,3,India
FM Engineer,1975-1975,3,2,1,78,54*,78.00,129,60.46,0,1,0,10,0,India
AD Gaekwad,1975-1979,6,5,0,113,37,22.60,210,53.80,0,0,0,10,0,India
G Gambhir,2011-2011,9,9,0,393,97,43.66,462,85.06,0,4,0,37,0,India
SC Ganguly,1999-2007,21,21,3,1006,183,55.88,1298,77.50,4,3,1,79,25,India
SM Gavaskar,1975-1987,19,19,3,561,103*,35.06,978,57.36,1,4,1,60+,4+,India
KD Ghavri,1975-1979,4,3,0,35,20,11.66,56,62.50,0,0,0,4,0,India
Harbhajan Singh,2003-2011,21,12,3,93,28,10.33,113,82.30,0,0,2,8,3,India
A Jadeja,1992-1999,21,18,3,522,100*,34.80,727,71.80,1,2,1,39,9,India
RA Jadeja,2015-2019,10,6,1,134,77,26.80,118,113.55,0,1,0,12,4,India
KM Jadhav,2019-2019,6,5,3,80,52,40.00,99,80.80,0,1,0,6,1,India
M Kaif,2003-2003,11,10,1,182,68*,20.22,316,57.59,0,1,1,16,1,India
