Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,country
S Abid Ali,1975-1975,3,3,36.0,7,115,6,2/22,19.16,3.19,36.0,0,0,0,0,India
AB Agarkar,1999-2007,6,6,56.0,1,274,7,3/38,39.14,4.89,48.0,0,0,2,0,India
M Amarnath,1975-1983,14,12,110.3,9,431,16,3/12,26.93,3.90,41.4,0,0,2,0,India
PK Amre,1992-1992,4,-,-,-,-,-,-,-,-,-,-,-,0,0,India
SA Ankola,1996-1996,1,1,5.0,0,28,0,-,-,5.60,-,0,0,0,0,India
R Ashwin,2011-2015,10,10,97.0,6,423,17,4/25,24.88,4.36,34.2,1,0,4,0,India
KBJ Azad,1983-1983,3,3,17.0,1,42,1,1/28,42.00,2.47,102.0,0,0,0,0,India
M Azharuddin,1987-1999,30,7,23.5,0,109,5,3/19,21.80,4.57,28.6,0,0,11,0,India
ST Banerjee,1992-1992,2,2,13.0,1,85,1,1/45,85.00,6.53,78.0,0,0,2,0,India
BS Bedi,1975-1979,5,5,60.0,17,148,2,1/6,74.00,2.46,180.0,0,0,0,0,India
RMH Binny,1983-1987,9,9,95.0,9,382,19,4/29,20.10,4.02,30.0,1,0,2,0,India
JJ Bumrah,2019-2019,9,9,84.0,9,371,18,4/55,20.61,4.41,28.0,1,0,1,0,India
YS Chahal,2019-2019,8,8,74.0,0,442,12,4/51,36.83,5.97,37.0,1,0,4,0,India
PP Chawla,2011-2011,3,3,28.0,0,174,4,2/47,43.50,6.21,42.0,0,0,0,0,India
N Chopra,1999-1999,1,1,10.0,2,33,1,1/33,33.00,3.30,60.0,0,0,0,0,India
S Dhawan,2015-2019,10,-,-,-,-,-,-,-,-,-,-,-,7,0,India
MS Dhoni,2007-2019,29,-,-,-,-,-,-,-,-,-,-,-,34,8,India
R Dravid,1999-2007,22,-,-,-,-,-,-,-,-,-,-,-,17,1,India
FM Engineer,1975-1975,3,-,-,-,-,-,-,-,-,-,-,-,2,0,India
AD Gaekwad,1975-1979,6,-,-,-,-,-,-,-,-,-,-,-,2,0,India
G Gambhir,2011-2011,9,-,-,-,-,-,-,-,-,-,-,-,0,0,India
