Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,num_seasons,Role,mean_rating,median_rating
M Azharuddin,1987-1999,30,25,4,826,93,39.33,1066,77.48,0,8,2,69,5,India,23.5,0,109,5,3/19,21.8,4.57,28.6,0,0,11,0,4,Batsman,71.38480392156862,76.10294117647058
S Dhawan,2015-2019,10,10,0,537,137,53.7,570,94.21,3,1,0,65,9,India,-,-,-,-,-,-,-,-,-,-,7,0,2,Batsman,57.894736842105246,57.894736842105246
R Dravid,1999-2007,22,21,7,860,145,61.42,1147,74.97,2,6,0,76,3,India,-,-,-,-,-,-,-,-,-,-,17,1,3,Batsman,50.108932461873636,50.0
V Kohli,2011-2019,26,26,4,1030,107,46.81,1188,86.7,2,6,0,91,5,India,3,0,19,0,-,-,6.33,-,0,0,14,0,3,Batsman,45.154553049289895,47.368421052631575
SK Raina,2011-2015,12,9,3,358,110*,59.66,333,107.5,1,2,0,30,9,India,17,1,76,2,1/12,38,4.47,51,0,0,9,0,2,Batsman,73.93483709273183,73.93483709273183
V Sehwag,2003-2011,22,22,0,843,175,38.31,794,106.17,2,3,1,108,18,India,32,2,120,4,2/17,30,3.75,48,0,0,11,0,3,Batsman,51.28968253968254,56.25
RG Sharma,2015-2019,17,17,2,978,140,65.2,1019,95.97,6,3,1,100,23,India,3,0,21,0,-,-,7,-,0,0,7,0,2,Batsman,26.052631578947373,26.052631578947373
SR Tendulkar,1992-2011,45,44,4,2278,152,56.95,2560,88.98,6,15,2,241,27,India,120,1,539,8,2/28,67.37,4.49,90,0,0,12,0,6,Batsman,34.18417366946779,23.713235294117645
MG Bevan,1996-2003,26,18,6,537,74*,44.75,834,64.38,0,5,1,35,5,Australia,50,2,237,4,2/35,59.25,4.74,75,0,0,6,0,3,Batsman,72.18137254901961,87.5
DC Boon,1987-1992,16,16,1,815,100,54.33,1117,72.96,2,5,0,72,5,Australia,1,0,17,0,-,-,17,-,0,0,2,0,2,Batsman,20.0,20.0
MJ Clarke,2007-2015,25,21,7,888,93*,63.42,943,94.16,0,8,0,85,11,Australia,30,0,150,3,2/33,50,5,60,0,0,12,0,3,Batsman,56.64160401002507,52.38095238095239
AJ Finch,2015-2019,18,18,0,787,153,43.72,801,98.25,3,4,2,73,24,Australia,3,0,20,1,1/13,20,6.66,18,0,0,11,0,2,Batsman,48.94736842105264,48.94736842105264
ML Hayden,2003-2007,22,21,2,987,158,51.94,1062,92.93,3,2,0,106,23,Australia,-,-,-,-,-,-,-,-,-,-,7,0,2,Batsman,18.402777777777786,18.402777777777786
RT Ponting,1996-2011,46,42,4,1743,140*,45.86,2180,79.95,5,6,1,145,31,Australia,-,-,-,-,-,-,-,-,-,-,28,0,5,Batsman,36.67016806722689,23.529411764705877
SPD Smith,2011-2019,24,20,2,834,105,46.33,931,89.58,1,8,0,74,7,Australia,33,0,190,2,1/6,95,5.75,99,0,0,8,0,3,Batsman,60.35087719298247,60.0
A Symonds,2003-2007,18,13,8,515,143*,103,552,93.29,1,3,1,51,10,Australia,49.2,2,258,5,2/7,51.6,5.22,59.2,0,0,7,0,2,Batsman,54.86111111111111,54.86111111111111
DA Warner,2015-2019,18,18,2,992,178,62,1011,98.12,4,3,0,104,17,Australia,-,-,-,-,-,-,-,-,-,-,9,0,2,Batsman,25.78947368421053,25.78947368421053
ME Waugh,1992-1999,22,22,3,1004,130,52.84,1199,83.73,4,4,2,87,9,Australia,62,1,313,5,3/38,62.6,5.04,74.4,0,0,11,0,3,Batsman,39.19934640522876,12.5
