Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year
Abdul Qadir,7,4,4,56,20*,-,43,130.23,0,0,0,3,2,Pakistan,1987
SD Anurasiri,6,1,0,0,0,0.00,3,0.00,0,0,1,0,0,SriLanka,1987
KJ Arnott,4,3,0,112,60,37.33,215,52.09,0,2,0,6,0,Zimbabwe,1987
CWJ Athey,6,6,2,211,86,52.75,325,64.92,0,2,0,11,2,England,1987
M Azharuddin,7,5,2,190,64,63.33,241,78.83,0,2,0,19,1,India,1987
EAE Baptiste,1,1,0,14,14,14.00,20,70.00,0,0,0,1,0,WestIndies,1987
WKM Benjamin,5,4,1,15,8,5.00,22,68.18,0,0,2,1,0,WestIndies,1987
CA Best,2,2,0,23,18,11.50,45,51.11,0,0,0,1,0,WestIndies,1987
RMH Binny,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0,India,1987
SL Boock,4,3,2,19,12,19.00,16,118.75,0,0,0,1,1,NewZealand,1987
DC Boon,8,8,0,447,93,55.87,583,76.67,0,5,0,38,3,Australia,1987
AR Border,8,8,0,183,67,22.87,225,81.33,0,1,0,16,0,Australia,1987
JG Bracewell,4,4,1,39,13*,13.00,58,67.24,0,0,0,1,0,NewZealand,1987
EA Brandes,4,3,2,21,18*,21.00,15,140.00,0,0,1,1,2,Zimbabwe,1987
BC Broad,3,3,0,67,36,22.33,150,44.66,0,0,0,3,0,England,1987
RD Brown,3,3,0,17,13,5.66,92,18.47,0,0,0,2,0,Zimbabwe,1987
IP Butchart,6,5,0,98,54,19.60,144,68.05,0,1,0,6,1,Zimbabwe,1987
EJ Chatfield,6,3,2,5,5*,5.00,7,71.42,0,0,1,0,0,NewZealand,1987
JJ Crowe,6,6,1,180,88*,36.00,213,84.50,0,1,0,16,0,NewZealand,1987
MD Crowe,6,6,0,222,72,37.00,235,94.46,0,3,0,21,1,NewZealand,1987
KM Curran,5,5,0,75,30,15.00,115,65.21,0,0,1,4,3,Zimbabwe,1987
PAJ DeFreitas,8,6,2,79,23,19.75,66,119.69,0,0,0,9,1,England,1987
ALF de Mel,3,2,0,0,0,0.00,5,0.00,0,0,2,0,0,SriLanka,1987
PA de Silva,6,6,2,101,42,25.25,135,74.81,0,0,0,5,1,SriLanka,1987
RL Dias,2,2,0,85,80,42.50,126,67.46,0,1,0,6,3,SriLanka,1987
PR Downton,8,5,1,19,9,4.75,32,59.37,0,0,1,1,0,England,1987
PJL Dujon,6,5,1,59,46,14.75,107,55.14,0,0,0,3,0,WestIndies,1987
GC Dyer,8,4,0,50,27,12.50,43,116.27,0,0,1,1,3,Australia,1987
JE Emburey,8,7,2,96,30*,19.20,88,109.09,0,0,0,9,2,England,1987
NA Foster,7,4,3,42,20*,42.00,37,113.51,0,0,0,3,0,England,1987
MW Gatting,8,8,1,354,60,50.57,369,95.93,0,3,0,26,2,England,1987
SM Gavaskar,7,7,1,300,103*,50.00,379,79.15,1,2,0,36,4,India,1987
GA Gooch,8,8,0,471,115,58.87,670,70.29,1,3,0,45,0,England,1987
AP Gurusinha,4,4,0,108,37,27.00,222,48.64,0,0,0,6,2,SriLanka,1987
RA Harper,6,6,1,37,24,7.40,30,123.33,0,0,1,3,1,WestIndies,1987
DL Haynes,6,6,0,219,105,36.50,352,62.21,1,0,0,20,1,WestIndies,1987
EE Hemmings,6,1,1,4,4*,-,3,133.33,0,0,0,0,0,England,1987
CL Hooper,6,5,2,42,22,14.00,65,64.61,0,0,0,4,0,WestIndies,1987
PA Horne,1,1,0,18,18,18.00,35,51.42,0,0,0,1,0,NewZealand,1987
DL Houghton,6,6,0,226,142,37.66,274,82.48,1,1,1,19,6,Zimbabwe,1987
Ijaz Ahmed,7,7,1,129,59,21.50,144,89.58,0,1,0,13,1,Pakistan,1987
Imran Khan,7,6,0,147,58,24.50,177,83.05,0,1,0,11,1,Pakistan,1987
MP Jarvis,5,2,2,9,8*,-,36,25.00,0,0,0,0,0,Zimbabwe,1987
Javed Miandad,7,7,1,274,103,45.66,374,73.26,1,1,0,18,0,Pakistan,1987
S Jeganathan,3,3,1,24,20*,12.00,35,68.57,0,0,0,2,1,SriLanka,1987
VB John,6,4,4,11,8*,-,26,42.30,0,0,0,1,0,SriLanka,1987
AH Jones,4,4,0,94,64,23.50,150,62.66,0,1,1,3,0,NewZealand,1987
DM Jones,8,8,1,314,58*,44.85,404,77.72,0,3,0,9,9,Australia,1987
N Kapil Dev,7,5,2,152,72*,50.66,120,126.66,0,1,0,9,4,India,1987
DSBP Kuruppu,5,5,0,69,33,13.80,147,46.93,0,0,1,3,0,SriLanka,1987
AJ Lamb,8,7,2,299,76,59.80,315,94.92,0,2,0,20,3,England,1987
AL Logie,6,6,2,181,65*,45.25,174,104.02,0,1,0,13,1,WestIndies,1987
CJ McDermott,8,6,0,34,14,5.66,36,94.44,0,0,0,2,1,Australia,1987
RS Madugalle,5,4,0,85,30,21.25,167,50.89,0,0,0,5,1,SriLanka,1987
RS Mahanama,6,6,0,134,89,22.33,204,65.68,0,1,1,14,1,SriLanka,1987
Maninder Singh,7,2,1,4,4,4.00,5,80.00,0,0,0,0,0,India,1987
Mansoor Akhtar,6,6,0,99,33,16.50,200,49.50,0,0,0,8,0,Pakistan,1987
Manzoor Elahi,1,1,1,4,4*,-,6,66.66,0,0,0,0,0,Pakistan,1987
GR Marsh,8,8,1,428,126*,61.14,627,68.26,2,1,0,35,4,Australia,1987
TBA May,6,3,1,16,15,8.00,13,123.07,0,0,0,1,0,Australia,1987
MA Meman,1,1,0,19,19,19.00,22,86.36,0,0,0,2,0,Zimbabwe,1987
LRD Mendis,6,6,1,136,58,27.20,209,65.07,0,1,0,13,0,SriLanka,1987
TM Moody,3,3,1,10,8,5.00,22,45.45,0,0,0,1,0,Australia,1987
KS More,6,4,3,59,42*,59.00,49,120.40,0,0,1,7,0,India,1987
DK Morrison,1,-,-,-,-,-,-,-,-,-,-,-,-,NewZealand,1987
Mudassar Nazar,2,1,0,40,40,40.00,55,72.72,0,0,0,3,0,Pakistan,1987
SP O'Donnell,7,4,0,15,7,3.75,33,45.45,0,0,1,0,0,Australia,1987
AH Omarshah,6,6,0,80,41,13.33,206,38.83,0,0,2,6,0,Zimbabwe,1987
CS Pandit,2,1,0,24,24,24.00,30,80.00,0,0,0,3,0,India,1987
DN Patel,6,6,0,58,40,9.66,79,73.41,0,0,1,4,0,NewZealand,1987
GA Paterson,4,4,0,24,16,6.00,93,25.80,0,0,1,1,0,Zimbabwe,1987
BP Patterson,6,2,2,4,4*,-,12,33.33,0,0,0,0,0,WestIndies,1987
M Prabhakar,7,4,1,23,11*,7.66,64,35.93,0,0,0,1,0,India,1987
DR Pringle,3,2,0,20,12,10.00,37,54.05,0,0,0,0,0,England,1987
AJ Pycroft,6,6,1,174,61,34.80,254,68.50,0,2,0,9,1,Zimbabwe,1987
Ramiz Raja,7,7,0,349,113,49.85,551,63.33,1,2,0,15,0,Pakistan,1987
A Ranatunga,5,5,2,252,86*,84.00,355,70.98,0,3,0,23,2,SriLanka,1987
RJ Ratnayake,3,3,1,27,14*,13.50,38,71.05,0,0,0,1,0,SriLanka,1987
JR Ratnayeke,6,5,0,52,22,10.40,111,46.84,0,0,0,4,0,SriLanka,1987
PWE Rawson,4,4,2,56,24*,28.00,70,80.00,0,0,0,4,1,Zimbabwe,1987
BA Reid,8,1,0,1,1,1.00,6,16.66,0,0,0,0,0,Australia,1987
IVA Richards,6,6,0,391,181,65.16,364,107.41,1,3,0,29,13,WestIndies,1987
RB Richardson,6,6,0,271,110,45.16,380,71.31,1,2,1,25,3,WestIndies,1987
RT Robinson,7,7,0,142,55,20.28,254,55.90,0,1,1,14,0,England,1987
KR Rutherford,5,5,0,204,75,40.80,276,73.91,0,1,0,15,4,NewZealand,1987
Saleem Jaffar,5,3,2,9,8*,9.00,21,42.85,0,0,1,0,0,Pakistan,1987
Saleem Malik,7,7,1,323,100,53.83,354,91.24,1,2,0,30,0,Pakistan,1987
Saleem Yousuf,7,6,3,112,56,37.33,91,123.07,0,1,0,9,1,Pakistan,1987
C Sharma,4,1,0,0,0,0.00,1,0.00,0,0,1,0,0,India,1987
RJ Shastri,7,4,0,63,22,15.75,94,67.02,0,0,0,4,1,India,1987
Shoaib Mohammad,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,Pakistan,1987
NS Sidhu,7,5,0,276,75,55.20,321,85.98,0,4,0,15,10,India,1987
PV Simmons,4,4,0,170,89,42.50,220,77.27,0,2,0,25,0,WestIndies,1987
L Sivaramakrishnan,2,-,-,-,-,-,-,-,-,-,-,-,-,India,1987
GC Small,8,3,1,3,3*,1.50,5,60.00,0,0,2,0,0,England,1987
IDS Smith,6,6,1,69,29,13.80,53,130.18,0,0,1,4,1,NewZealand,1987
MC Snedden,6,6,0,157,64,26.16,257,61.08,0,1,0,10,0,NewZealand,1987
K Srikkanth,7,7,0,248,75,35.42,299,82.94,0,2,0,29,3,India,1987
Tauseef Ahmed,6,2,0,1,1,0.50,4,25.00,0,0,1,0,0,Pakistan,1987
PL Taylor,2,1,1,17,17*,-,13,130.76,0,0,0,1,0,Australia,1987
AJ Traicos,6,3,1,10,6,5.00,12,83.33,0,0,1,1,0,Zimbabwe,1987
MRJ Veletta,4,4,1,136,48,45.33,121,112.39,0,0,1,11,0,Australia,1987
DB Vengsarkar,6,5,2,171,63,57.00,193,88.60,0,1,1,10,5,India,1987
AC Waller,6,6,1,125,39,25.00,210,59.52,0,0,0,9,2,Zimbabwe,1987
CA Walsh,6,3,1,18,9*,9.00,17,105.88,0,0,0,2,0,WestIndies,1987
Wasim Akram,7,6,0,85,39,14.16,80,106.25,0,0,1,3,4,Pakistan,1987
W Watson,6,4,3,24,12*,24.00,39,61.53,0,0,0,1,0,NewZealand,1987
SR Waugh,8,8,5,167,45,55.66,171,97.66,0,0,0,12,4,Australia,1987
JG Wright,5,5,0,173,61,34.60,257,67.31,0,1,0,11,2,NewZealand,1987
AK Zesers,2,2,2,10,8*,-,14,71.42,0,0,0,1,0,Australia,1987
Aamer Sohail,10,10,0,326,114,32.60,515,63.30,1,2,1,32,0,Pakistan,1992
Aaqib Javed,10,2,2,2,1*,-,33,6.06,0,0,0,0,0,Pakistan,1992
CEL Ambrose,7,4,1,33,15*,11.00,42,78.57,0,0,0,2,1,WestIndies,1992
PK Amre,4,3,1,27,22,13.50,40,67.50,0,0,0,0,0,India,1992
SD Anurasiri,5,4,2,21,11,10.50,36,58.33,0,0,0,0,0,SriLanka,1992
KJ Arnott,5,5,1,94,52,23.50,201,46.76,0,1,0,5,1,Zimbabwe,1992
KLT Arthurton,8,7,1,233,58*,38.83,351,66.38,0,2,1,12,4,WestIndies,1992
M Azharuddin,8,7,0,332,93,47.42,425,78.11,0,4,1,29,1,India,1992
ST Banerjee,2,2,1,36,25*,36.00,25,144.00,0,0,0,2,1,India,1992
WKM Benjamin,8,6,4,54,24*,27.00,59,91.52,0,0,0,4,0,WestIndies,1992
DC Boon,8,8,1,368,100,52.57,534,68.91,2,0,0,34,2,Australia,1992
AR Border,8,7,0,60,22,8.57,85,70.58,0,0,1,4,0,Australia,1992
T Bosch,1,-,-,-,-,-,-,-,-,-,-,-,-,SouthAfrica,1992
IT Botham,10,10,1,192,53,21.33,329,58.35,0,1,1,21,2,England,1992
EA Brandes,8,6,1,71,23,14.20,101,70.29,0,0,0,5,1,Zimbabwe,1992
MG Burmester,4,3,1,17,12,8.50,37,45.94,0,0,0,0,0,Zimbabwe,1992
IP Butchart,5,3,0,60,33,20.00,70,85.71,0,0,0,6,0,Zimbabwe,1992
CL Cairns,5,3,3,21,16*,-,18,116.66,0,0,0,3,0,NewZealand,1992
ADR Campbell,4,3,0,13,8,4.33,48,27.08,0,0,0,2,0,Zimbabwe,1992
