Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,num_seasons,Role,mean_rating,median_rating
R Ashwin,2011-2015,10,6,5,40,16*,40,61,65.57,0,0,0,1,0,India,97,6,423,17,4/25,24.88,4.36,34.2,1,0,4,0,2,Bowler,73.8095238095238,73.8095238095238
Z Khan,2003-2011,23,11,2,52,15*,5.77,70,74.28,0,0,3,6,0,India,198.5,12,890,44,4/42,20.22,4.47,27.1,1,0,10,0,3,Bowler,32.32804232804232,20.0
A Kumble,1996-2007,18,8,4,62,17,15.5,88,70.45,0,0,0,6,0,India,173.1,5,708,31,4/32,22.83,4.08,33.5,1,0,14,0,4,Bowler,59.942810457516345,72.5
Mohammed Shami,2015-2019,11,6,3,10,4*,3.33,15,66.66,0,0,1,1,0,India,96.1,9,487,31,5/69,15.7,5.06,18.6,3,1,8,0,2,Bowler,35.208333333333336,35.208333333333336
A Nehra,2003-2011,12,3,1,9,8*,4.5,9,100.0,0,0,1,2,0,India,92.5,10,409,18,6/23,22.72,4.4,30.9,1,1,1,0,3,Bowler,66.42857142857143,66.42857142857143
BKV Prasad,1996-1999,14,5,2,4,2*,1.33,15,26.66,0,0,2,0,0,India,129.5,5,578,17,5/27,34,4.45,45.8,0,1,2,0,2,Bowler,53.529411764705884,53.529411764705884
J Srinath,1992-2003,34,18,9,85,18,9.44,80,106.25,0,0,3,5,2,India,283.2,21,1224,44,4/30,27.81,4.32,38.6,2,0,4,0,4,Bowler,43.55042016806723,41.02941176470589
PJ Cummins,2015-2019,12,9,2,58,23*,8.28,98,59.18,0,0,1,4,0,Australia,99.2,7,507,19,3/33,26.68,5.1,31.3,0,0,6,0,2,Bowler,65.20833333333334,65.20833333333334
DW Fleming,1996-1999,16,4,2,12,8*,6,17,70.58,0,0,2,0,0,Australia,133.2,12,583,26,5/36,22.42,4.37,30.7,0,1,5,0,2,Bowler,25.294117647058826,25.294117647058826
MG Johnson,2011-2015,15,8,5,56,27*,18.66,39,143.58,0,0,2,7,1,Australia,121,9,557,25,4/19,22.28,4.6,29,3,0,5,0,2,Bowler,53.57142857142857,53.57142857142857
B Lee,2003-2011,17,4,1,28,15*,9.33,43,65.11,0,0,0,1,2,Australia,137.3,15,629,35,5/42,17.97,4.57,23.5,2,1,12,0,3,Bowler,21.666666666666664,21.666666666666664
GD McGrath,1996-2007,39,4,3,3,3*,3,5,60.0,0,0,1,0,0,Australia,325.5,42,1292,71,7/15,18.19,3.96,27.5,0,2,5,0,4,Bowler,26.02124183006536,12.5
