Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,country,year
Abdul Qadir,7,7,68.0,2,242,12,4/31,20.16,3.55,34.0,1,0,2,0,Pakistan,1987
SD Anurasiri,6,6,55.0,1,271,4,1/44,67.75,4.92,82.5,0,0,2,0,SriLanka,1987
KJ Arnott,4,-,-,-,-,-,-,-,-,-,-,-,1,0,Zimbabwe,1987
CWJ Athey,6,1,1.0,0,10,0,-,-,10.00,-,0,0,4,0,England,1987
M Azharuddin,7,7,23.5,0,109,5,3/19,21.80,4.57,28.6,0,0,2,0,India,1987
EAE Baptiste,1,1,8.0,1,33,0,-,-,4.12,-,0,0,1,0,WestIndies,1987
WKM Benjamin,5,5,44.0,2,218,4,3/69,54.50,4.95,66.0,0,0,0,0,WestIndies,1987
CA Best,2,-,-,-,-,-,-,-,-,-,-,-,1,0,WestIndies,1987
RMH Binny,1,1,7.0,0,46,1,1/46,46.00,6.57,42.0,0,0,0,0,India,1987
SL Boock,4,4,32.4,2,156,4,2/42,39.00,4.77,49.0,0,0,2,0,NewZealand,1987
DC Boon,8,1,1.0,0,17,0,-,-,17.00,-,0,0,2,0,Australia,1987
AR Border,8,5,32.0,0,166,6,2/27,27.66,5.18,32.0,0,0,1,0,Australia,1987
JG Bracewell,4,4,24.0,0,155,0,-,-,6.45,-,0,0,0,0,NewZealand,1987
EA Brandes,4,4,33.0,4,154,2,2/44,77.00,4.66,99.0,0,0,2,0,Zimbabwe,1987
BC Broad,3,1,1.0,0,6,0,-,-,6.00,-,0,0,1,0,England,1987
RD Brown,3,-,-,-,-,-,-,-,-,-,-,-,3,0,Zimbabwe,1987
IP Butchart,6,6,35.0,1,222,3,2/59,74.00,6.34,70.0,0,0,2,0,Zimbabwe,1987
EJ Chatfield,6,6,50.1,8,230,5,2/52,46.00,4.58,60.2,0,0,1,0,NewZealand,1987
JJ Crowe,6,-,-,-,-,-,-,-,-,-,-,-,2,0,NewZealand,1987
MD Crowe,6,-,-,-,-,-,-,-,-,-,-,-,4,0,NewZealand,1987
KM Curran,5,4,26.0,0,124,4,2/29,31.00,4.76,39.0,0,0,1,0,Zimbabwe,1987
PAJ DeFreitas,8,8,69.1,12,283,12,3/28,23.58,4.09,34.5,0,0,0,0,England,1987
ALF de Mel,3,3,24.2,0,184,1,1/97,184.00,7.56,146.0,0,0,0,0,SriLanka,1987
PA de Silva,6,6,42.0,0,217,3,2/43,72.33,5.16,84.0,0,0,2,0,SriLanka,1987
RL Dias,2,-,-,-,-,-,-,-,-,-,-,-,0,0,SriLanka,1987
PR Downton,8,-,-,-,-,-,-,-,-,-,-,-,8,1,England,1987
PJL Dujon,6,-,-,-,-,-,-,-,-,-,-,-,4,0,WestIndies,1987
GC Dyer,8,-,-,-,-,-,-,-,-,-,-,-,9,2,Australia,1987
JE Emburey,8,8,79.0,4,295,6,2/26,49.16,3.73,79.0,0,0,3,0,England,1987
NA Foster,7,7,70.0,1,313,9,3/47,34.77,4.47,46.6,0,0,1,0,England,1987
MW Gatting,8,-,-,-,-,-,-,-,-,-,-,-,1,0,England,1987
SM Gavaskar,7,-,-,-,-,-,-,-,-,-,-,-,1,0,India,1987
GA Gooch,8,4,15.0,1,79,1,1/42,79.00,5.26,90.0,0,0,2,0,England,1987
AP Gurusinha,4,2,5.0,0,51,1,1/43,51.00,10.20,30.0,0,0,0,0,SriLanka,1987
RA Harper,6,6,60.0,4,206,4,1/28,51.50,3.43,90.0,0,0,2,0,WestIndies,1987
DL Haynes,6,-,-,-,-,-,-,-,-,-,-,-,1,0,WestIndies,1987
EE Hemmings,6,6,59.3,4,274,13,4/52,21.07,4.60,27.4,1,0,2,0,England,1987
CL Hooper,6,5,41.0,0,181,7,3/42,25.85,4.41,35.1,0,0,4,0,WestIndies,1987
PA Horne,1,-,-,-,-,-,-,-,-,-,-,-,0,0,NewZealand,1987
DL Houghton,6,-,-,-,-,-,-,-,-,-,-,-,3,2,Zimbabwe,1987
Ijaz Ahmed,7,-,-,-,-,-,-,-,-,-,-,-,1,0,Pakistan,1987
Imran Khan,7,6,49.5,6,222,17,4/37,13.05,4.45,17.5,2,0,1,0,Pakistan,1987
MP Jarvis,5,5,35.4,1,155,2,1/21,77.50,4.34,107.0,0,0,1,0,Zimbabwe,1987
Javed Miandad,7,1,3.0,0,5,1,1/5,5.00,1.66,18.0,0,0,1,1,Pakistan,1987
S Jeganathan,3,3,29.0,2,123,4,2/45,30.75,4.24,43.5,0,0,1,0,SriLanka,1987
VB John,6,6,49.0,7,226,1,1/53,226.00,4.61,294.0,0,0,1,0,SriLanka,1987
AH Jones,4,-,-,-,-,-,-,-,-,-,-,-,1,0,NewZealand,1987
DM Jones,8,1,1.0,0,5,0,-,-,5.00,-,0,0,4,0,Australia,1987
N Kapil Dev,7,7,62.0,6,259,5,2/38,51.80,4.17,74.4,0,0,5,0,India,1987
DSBP Kuruppu,5,-,-,-,-,-,-,-,-,-,-,-,3,1,SriLanka,1987
AJ Lamb,8,1,1.0,0,3,0,-,-,3.00,-,0,0,2,0,England,1987
AL Logie,6,-,-,-,-,-,-,-,-,-,-,-,1,0,WestIndies,1987
CJ McDermott,8,8,73.0,3,341,18,5/44,18.94,4.67,24.3,1,1,2,0,Australia,1987
RS Madugalle,5,-,-,-,-,-,-,-,-,-,-,-,1,0,SriLanka,1987
RS Mahanama,6,-,-,-,-,-,-,-,-,-,-,-,2,0,SriLanka,1987
Maninder Singh,7,7,70.0,1,280,14,3/21,20.00,4.00,30.0,0,0,1,0,India,1987
Mansoor Akhtar,6,2,4.0,0,23,1,1/7,23.00,5.75,24.0,0,0,2,0,Pakistan,1987
Manzoor Elahi,1,1,9.4,0,32,1,1/32,32.00,3.31,58.0,0,0,0,0,Pakistan,1987
GR Marsh,8,-,-,-,-,-,-,-,-,-,-,-,2,0,Australia,1987
TBA May,6,6,44.0,1,213,4,2/29,53.25,4.84,66.0,0,0,1,0,Australia,1987
MA Meman,1,1,6.5,0,34,0,-,-,4.97,-,0,0,0,0,Zimbabwe,1987
LRD Mendis,6,-,-,-,-,-,-,-,-,-,-,-,0,0,SriLanka,1987
TM Moody,3,1,2.0,0,15,0,-,-,7.50,-,0,0,1,0,Australia,1987
KS More,6,-,-,-,-,-,-,-,-,-,-,-,6,5,India,1987
