Player,Mat,Inns,Ct,Max,Ct/Inn,country,year
N Kapil Dev,7,7,5,2,0.714,India,1987
CWJ Athey,6,6,4,1,0.666,England,1987
MD Crowe,6,6,4,2,0.666,NewZealand,1987
CL Hooper,6,6,4,2,0.666,WestIndies,1987
SP O'Donnell,7,7,4,2,0.571,Australia,1987
DM Jones,8,8,4,1,0.500,Australia,1987
BA Reid,8,8,4,2,0.500,Australia,1987
Mudassar Nazar,2,2,3,2,1.500,Pakistan,1987
RD Brown,3,3,3,2,1.000,Zimbabwe,1987
RJ Ratnayake,3,3,3,2,1.000,SriLanka,1987
NS Sidhu,7,7,3,2,0.428,India,1987
JE Emburey,8,8,3,1,0.375,England,1987
SR Waugh,8,8,3,2,0.375,Australia,1987
SL Boock,4,4,2,1,0.500,NewZealand,1987
EA Brandes,4,4,2,1,0.500,Zimbabwe,1987
GA Paterson,4,4,2,1,0.500,Zimbabwe,1987
PWE Rawson,4,4,2,1,0.500,Zimbabwe,1987
KR Rutherford,5,5,2,1,0.400,NewZealand,1987
SD Anurasiri,6,6,2,1,0.333,SriLanka,1987
IP Butchart,6,6,2,1,0.333,Zimbabwe,1987
JJ Crowe,6,6,2,1,0.333,NewZealand,1987
PA de Silva,6,6,2,2,0.333,SriLanka,1987
RA Harper,6,6,2,1,0.333,WestIndies,1987
EE Hemmings,6,6,2,1,0.333,England,1987
RS Mahanama,6,6,2,1,0.333,SriLanka,1987
Mansoor Akhtar,6,6,2,2,0.333,Pakistan,1987
IVA Richards,6,6,2,1,0.333,WestIndies,1987
RB Richardson,6,6,2,1,0.333,WestIndies,1987
Abdul Qadir,7,7,2,1,0.285,Pakistan,1987
M Azharuddin,7,7,2,1,0.285,India,1987
RJ Shastri,7,7,2,1,0.285,India,1987
K Srikkanth,7,7,2,1,0.285,India,1987
DC Boon,8,8,2,1,0.250,Australia,1987
GA Gooch,8,8,2,1,0.250,England,1987
AJ Lamb,8,8,2,1,0.250,England,1987
CJ McDermott,8,8,2,1,0.250,Australia,1987
GR Marsh,8,8,2,2,0.250,Australia,1987
KC Wessels,9,9,7,2,0.777,SouthAfrica,1992
NH Fairbrother,9,9,6,2,0.666,England,1992
CL Cairns,5,5,5,2,1.000,NewZealand,1992
AR Border,8,8,5,3,0.625,Australia,1992
GR Larsen,9,9,5,1,0.555,NewZealand,1992
DA Reeve,9,9,5,3,0.555,England,1992
PAJ DeFreitas,10,10,5,1,0.500,England,1992
GA Hick,10,10,5,1,0.500,England,1992
ME Waugh,5,5,4,2,0.800,Australia,1992
ST Jayasuriya,6,6,4,2,0.666,SriLanka,1992
MJ Greatbatch,7,7,4,2,0.571,NewZealand,1992
DL Haynes,7,7,4,2,0.571,WestIndies,1992
Ijaz Ahmed,7,7,4,3,0.571,Pakistan,1992
K Srikkanth,8,7,4,2,0.571,India,1992
WKM Benjamin,8,8,4,1,0.500,WestIndies,1992
CL Hooper,8,8,4,2,0.500,WestIndies,1992
DL Houghton,8,8,4,2,0.500,Zimbabwe,1992
CPH Ramanayake,8,8,4,1,0.500,SriLanka,1992
Ramiz Raja,8,8,4,2,0.500,Pakistan,1992
CZ Harris,9,9,4,1,0.444,NewZealand,1992
CC Lewis,9,9,4,2,0.444,England,1992
BM McMillan,9,9,4,1,0.444,SouthAfrica,1992
JN Rhodes,9,9,4,2,0.444,SouthAfrica,1992
IT Botham,10,10,4,1,0.400,England,1992
Inzamam-ul-Haq,10,10,4,2,0.400,Pakistan,1992
RK Illingworth,6,6,3,1,0.500,England,1992
SV Manjrekar,6,6,3,2,0.500,India,1992
RS Kalpage,7,7,3,1,0.428,SriLanka,1992
RT Latham,7,7,3,2,0.428,NewZealand,1992
WJ Cronje,8,8,3,2,0.375,SouthAfrica,1992
AL Logie,8,8,3,1,0.375,WestIndies,1992
RS Mahanama,8,8,3,2,0.375,SriLanka,1992
AJ Pycroft,8,8,3,1,0.375,Zimbabwe,1992
RB Richardson,8,8,3,1,0.375,WestIndies,1992
RA Smith,8,8,3,2,0.375,England,1992
MD Crowe,9,9,3,1,0.333,NewZealand,1992
AP Kuiper,9,9,3,1,0.333,SouthAfrica,1992
KR Rutherford,9,9,3,1,0.333,NewZealand,1992
Aamer Sohail,10,10,3,1,0.300,Pakistan,1992
Saleem Malik,10,10,3,1,0.300,Pakistan,1992
A Kumble,7,7,8,2,1.142,India,1996
