Player,Mat,Inns,Dis,Ct,St,Max Dis Inns,Dis/Inn,country,year
KS More,6,6,11,6,5,4 (2ct 2st),1.833,India,1987
GC Dyer,8,8,11,9,2,4 (4ct 0st),1.375,Australia,1987
Saleem Yousuf,7,7,9,9,0,3 (3ct 0st),1.285,Pakistan,1987
PR Downton,8,8,9,8,1,3 (3ct 0st),1.125,England,1987
DL Houghton,6,6,5,3,2,2 (1ct 1st),0.833,Zimbabwe,1987
DSBP Kuruppu,5,5,4,3,1,2 (1ct 1st),0.800,SriLanka,1987
PJL Dujon,6,6,4,4,0,2 (2ct 0st),0.666,WestIndies,1987
IDS Smith,6,6,3,3,0,2 (2ct 0st),0.500,NewZealand,1987
Javed Miandad,7,0,1,0,1,1 (0ct 1st),-,Pakistan,1987
CS Pandit,2,1,1,1,0,1 (1ct 0st),1.000,India,1987
AP Gurusinha,4,1,0,0,0,0,0.000,SriLanka,1987
DJ Richardson,9,9,15,14,1,3 (3ct 0st),1.666,SouthAfrica,1992
D Williams,8,8,14,11,3,4 (4ct 0st),1.750,WestIndies,1992
Moin Khan,10,10,14,11,3,3 (3ct 0st),1.400,Pakistan,1992
IA Healy,7,7,9,9,0,3 (3ct 0st),1.285,Australia,1992
AJ Stewart,10,10,9,8,1,3 (3ct 0st),0.900,England,1992
KS More,8,7,7,6,1,3 (2ct 1st),1.000,India,1992
A Flower,8,8,7,6,1,3 (3ct 0st),0.875,Zimbabwe,1992
HP Tillakaratne,8,8,7,6,1,3 (3ct 0st),0.875,SriLanka,1992
IDS Smith,9,9,5,5,0,2 (2ct 0st),0.555,NewZealand,1992
DC Boon,8,1,0,0,0,0,0.000,Australia,1992
IA Healy,7,7,12,9,3,3 (2ct 1st),1.714,Australia,1996
Rashid Latif,6,6,9,7,2,5 (4ct 1st),1.500,Pakistan,1996
SJ Palframan,6,6,8,8,0,3 (3ct 0st),1.333,SouthAfrica,1996
RC Russell,6,6,8,7,1,3 (3ct 0st),1.333,England,1996
NR Mongia,7,7,7,4,3,3 (2ct 1st),1.000,India,1996
JC Adams,4,1,5,4,1,5 (4ct 1st),5.000,WestIndies,1996
CO Browne,5,5,5,3,2,3 (2ct 1st),1.000,WestIndies,1996
RS Kaluwitharana,6,6,5,2,3,1 (1ct 0st),0.833,SriLanka,1996
Imtiaz Abbasi,5,5,4,2,2,2 (1ct 1st),0.800,UnitedArabEmirates,1996
MMC Schewe,5,5,3,2,1,3 (2ct 1st),0.600,Netherlands,1996
LK Germon,6,6,3,2,1,1 (1ct 0st),0.500,NewZealand,1996
IT Iqbal,3,3,2,2,0,2 (2ct 0st),0.666,Kenya,1996
KO Otieno,6,3,1,1,0,1 (1ct 0st),0.333,Kenya,1996
A Flower,6,5,1,0,1,1 (0ct 1st),0.200,Zimbabwe,1996
Moin Khan,10,10,16,12,4,3 (3ct 0st),1.600,Pakistan,1999
RD Jacobs,5,5,14,14,0,5 (5ct 0st),2.800,WestIndies,1999
AC Gilchrist,10,10,14,12,2,4 (4ct 0st),1.400,Australia,1999
MV Boucher,9,9,11,11,0,4 (4ct 0st),1.222,SouthAfrica,1999
NR Mongia,7,7,9,8,1,5 (4ct 1st),1.285,India,1999
RS Kaluwitharana,5,5,7,6,1,3 (3ct 0st),1.400,SriLanka,1999
AJ Stewart,5,5,7,7,0,3 (3ct 0st),1.400,England,1999
A Flower,8,8,6,5,1,3 (2ct 1st),0.750,Zimbabwe,1999
AC Parore,9,9,6,6,0,2 (2ct 0st),0.666,NewZealand,1999
Khaled Mashud,5,5,4,2,2,2 (0ct 2st),0.800,Bangladesh,1999
AG Davies,5,5,3,2,1,2 (1ct 1st),0.600,Scotland,1999
KO Otieno,5,5,2,2,0,2 (2ct 0st),0.400,Kenya,1999
R Dravid,8,1,0,0,0,0,0.000,India,1999
AC Gilchrist,10,10,21,21,0,6 (6ct 0st),2.100,Australia,2003
