Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year
GA Gooch,8,8,0,471,115,58.87,670,70.29,1,3,0,45,0,England,1987
DC Boon,8,8,0,447,93,55.87,583,76.67,0,5,0,38,3,Australia,1987
GR Marsh,8,8,1,428,126*,61.14,627,68.26,2,1,0,35,4,Australia,1987
IVA Richards,6,6,0,391,181,65.16,364,107.41,1,3,0,29,13,WestIndies,1987
MW Gatting,8,8,1,354,60,50.57,369,95.93,0,3,0,26,2,England,1987
Ramiz Raja,7,7,0,349,113,49.85,551,63.33,1,2,0,15,0,Pakistan,1987
Saleem Malik,7,7,1,323,100,53.83,354,91.24,1,2,0,30,0,Pakistan,1987
DM Jones,8,8,1,314,58*,44.85,404,77.72,0,3,0,9,9,Australia,1987
SM Gavaskar,7,7,1,300,103*,50.00,379,79.15,1,2,0,36,4,India,1987
AJ Lamb,8,7,2,299,76,59.80,315,94.92,0,2,0,20,3,England,1987
NS Sidhu,7,5,0,276,75,55.20,321,85.98,0,4,0,15,10,India,1987
Javed Miandad,7,7,1,274,103,45.66,374,73.26,1,1,0,18,0,Pakistan,1987
RB Richardson,6,6,0,271,110,45.16,380,71.31,1,2,1,25,3,WestIndies,1987
A Ranatunga,5,5,2,252,86*,84.00,355,70.98,0,3,0,23,2,SriLanka,1987
K Srikkanth,7,7,0,248,75,35.42,299,82.94,0,2,0,29,3,India,1987
DL Houghton,6,6,0,226,142,37.66,274,82.48,1,1,1,19,6,Zimbabwe,1987
MD Crowe,6,6,0,222,72,37.00,235,94.46,0,3,0,21,1,NewZealand,1987
DL Haynes,6,6,0,219,105,36.50,352,62.21,1,0,0,20,1,WestIndies,1987
CWJ Athey,6,6,2,211,86,52.75,325,64.92,0,2,0,11,2,England,1987
KR Rutherford,5,5,0,204,75,40.80,276,73.91,0,1,0,15,4,NewZealand,1987
M Azharuddin,7,5,2,190,64,63.33,241,78.83,0,2,0,19,1,India,1987
AR Border,8,8,0,183,67,22.87,225,81.33,0,1,0,16,0,Australia,1987
AL Logie,6,6,2,181,65*,45.25,174,104.02,0,1,0,13,1,WestIndies,1987
