Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,country,year
CJ McDermott,8,8,73.0,3,341,18,5/44,18.94,4.67,24.3,1,1,Australia,1987
Imran Khan,7,6,49.5,6,222,17,4/37,13.05,4.45,17.5,2,0,Pakistan,1987
BP Patterson,6,6,56.0,2,253,14,3/31,18.07,4.51,24.0,0,0,WestIndies,1987
Maninder Singh,7,7,70.0,1,280,14,3/21,20.00,4.00,30.0,0,0,India,1987
EE Hemmings,6,6,59.3,4,274,13,4/52,21.07,4.60,27.4,1,0,England,1987
Abdul Qadir,7,7,68.0,2,242,12,4/31,20.16,3.55,34.0,1,0,Pakistan,1987
PAJ DeFreitas,8,8,69.1,12,283,12,3/28,23.58,4.09,34.5,0,0,England,1987
SR Waugh,8,8,63.3,4,288,11,2/36,26.18,4.53,34.6,0,0,Australia,1987
JR Ratnayeke,6,6,54.0,2,313,10,3/41,31.30,5.79,32.4,0,0,SriLanka,1987
CA Walsh,6,6,55.3,6,229,9,4/40,25.44,4.12,37.0,1,0,WestIndies,1987
M Prabhakar,7,7,59.0,4,235,9,4/19,26.11,3.98,39.3,1,0,India,1987
SP O'Donnell,7,7,60.4,6,261,9,4/39,29.00,4.30,40.4,1,0,Australia,1987
NA Foster,7,7,70.0,1,313,9,3/47,34.77,4.47,46.6,0,0,England,1987
CL Hooper,6,5,41.0,0,181,7,3/42,25.85,4.41,35.1,0,0,WestIndies,1987
W Watson,6,6,53.0,3,270,7,2/36,38.57,5.09,45.4,0,0,NewZealand,1987
RJ Shastri,7,7,68.2,1,274,7,2/45,39.14,4.00,58.5,0,0,India,1987
Wasim Akram,7,7,63.2,1,295,7,3/45,42.14,4.65,54.2,0,0,Pakistan,1987
AR Border,8,5,32.0,0,166,6,2/27,27.66,5.18,32.0,0,0,Australia,1987
C Sharma,4,4,36.1,2,170,6,3/51,28.33,4.70,36.1,0,0,India,1987
AJ Traicos,6,6,58.0,2,218,6,2/27,36.33,3.75,58.0,0,0,Zimbabwe,1987
JE Emburey,8,8,79.0,4,295,6,2/26,49.16,3.73,79.0,0,0,England,1987
BA Reid,8,8,68.0,7,303,6,2/38,50.50,4.45,68.0,0,0,Australia,1987
GC Small,8,8,68.0,2,331,6,2/47,55.16,4.86,68.0,0,0,England,1987
M Azharuddin,7,7,23.5,0,109,5,3/19,21.80,4.57,28.6,0,0,India,1987
AH Omarshah,6,5,40.0,0,179,5,2/34,35.80,4.47,48.0,0,0,Zimbabwe,1987
Saleem Jaffar,5,5,39.4,0,210,5,3/30,42.00,5.29,47.6,0,0,Pakistan,1987
EJ Chatfield,6,6,50.1,8,230,5,2/52,46.00,4.58,60.2,0,0,NewZealand,1987
Tauseef Ahmed,6,6,60.0,4,230,5,1/35,46.00,3.83,72.0,0,0,Pakistan,1987
MC Snedden,6,6,49.0,3,254,5,2/36,50.80,5.18,58.8,0,0,NewZealand,1987
N Kapil Dev,7,7,62.0,6,259,5,2/38,51.80,4.17,74.4,0,0,India,1987
