Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,num_seasons,Role
R Ashwin,2011-2015,10,6,5,40,16*,40,61,65.57,0,0,0,1,0,India,97,6,423,17,4/25,24.88,4.36,34.2,1,0,4,0,2,Bowler
M Azharuddin,1987-1999,30,25,4,826,93,39.33,1066,77.48,0,8,2,69,5,India,23.5,0,109,5,3/19,21.8,4.57,28.6,0,0,11,0,4,Batsman
S Dhawan,2015-2019,10,10,0,537,137,53.7,570,94.21,3,1,0,65,9,India,-,-,-,-,-,-,-,-,-,-,7,0,2,Batsman
MS Dhoni,2007-2019,29,25,7,780,91*,43.33,867,89.96,0,5,2,59,15,India,-,-,-,-,-,-,-,-,-,-,34,8,4,Wicket Keeper
R Dravid,1999-2007,22,21,7,860,145,61.42,1147,74.97,2,6,0,76,3,India,-,-,-,-,-,-,-,-,-,-,17,1,3,Batsman
SC Ganguly,1999-2007,21,21,3,1006,183,55.88,1298,77.5,4,3,1,79,25,India,62,1,305,10,3/22,30.5,4.91,37.2,0,0,1,0,3,All Rounder
A Jadeja,1992-1999,21,18,3,522,100*,34.8,727,71.8,1,2,1,39,9,India,28.2,0,143,3,2/32,47.66,5.04,56.6,0,0,5,0,3,Batsman
N Kapil Dev,1979-1992,26,24,6,669,175*,37.16,581,115.14,1,1,0,54+,14+,India,237,27,892,28,5/43,31.85,3.76,50.7,0,1,12,0,4,All Rounder
Z Khan,2003-2011,23,11,2,52,15*,5.77,70,74.28,0,0,3,6,0,India,198.5,12,890,44,4/42,20.22,4.47,27.1,1,0,10,0,3,Bowler
V Kohli,2011-2019,26,26,4,1030,107,46.81,1188,86.7,2,6,0,91,5,India,3,0,19,0,-,-,6.33,-,0,0,14,0,3,Batsman
A Kumble,1996-2007,18,8,4,62,17,15.5,88,70.45,0,0,0,6,0,India,173.1,5,708,31,4/32,22.83,4.08,33.5,1,0,14,0,4,Bowler
Mohammed Shami,2015-2019,11,6,3,10,4*,3.33,15,66.66,0,0,1,1,0,India,96.1,9,487,31,5/69,15.7,5.06,18.6,3,1,8,0,2,Bowler
KS More,1987-1992,14,10,5,100,42*,20,86,116.27,0,0,1,10,1,India,-,-,-,-,-,-,-,-,-,-,12,6,2,Wicket Keeper
A Nehra,2003-2011,12,3,1,9,8*,4.5,9,100,0,0,1,2,0,India,92.5,10,409,18,6/23,22.72,4.4,30.9,1,1,1,0,3,Bowler
MM Patel,2007-2011,11,6,2,26,15,6.5,35,74.28,0,0,1,3,0,India,92.2,5,458,15,4/48,30.53,4.96,36.9,1,0,3,0,2,Bowler
M Prabhakar,1987-1996,19,11,2,45,11*,5,132,34.09,0,0,1,3,0,India,145.1,10,640,24,4/19,26.66,4.4,36.2,1,0,4,0,3,Bowler
BKV Prasad,1996-1999,14,5,2,4,2*,1.33,15,26.66,0,0,2,0,0,India,129.5,5,578,17,5/27,34,4.45,45.8,0,1,2,0,2,Bowler
SK Raina,2011-2015,12,9,3,358,110*,59.66,333,107.5,1,2,0,30,9,India,17,1,76,2,1/12,38,4.47,51,0,0,9,0,2,Batsman
SLV Raju,1992-1996,11,3,1,4,3*,2,5,80,0,0,1,0,0,India,88.1,7,366,13,3/30,28.15,4.15,40.6,0,0,2,0,2,Bowler
V Sehwag,2003-2011,22,22,0,843,175,38.31,794,106.17,2,3,1,108,18,India,32,2,120,4,2/17,30,3.75,48,0,0,11,0,3,Batsman
RG Sharma,2015-2019,17,17,2,978,140,65.2,1019,95.97,6,3,1,100,23,India,3,0,21,0,-,-,7,-,0,0,7,0,2,Batsman
NS Sidhu,1987-1996,12,10,0,454,93,45.4,576,78.81,0,6,0,31,10,India,-,-,-,-,-,-,-,-,-,-,3,0,3,Batsman
K Srikkanth,1983-1992,23,23,1,521,75,23.68,762,68.37,0,2,4,62+,4+,India,2.1,0,15,0,-,-,6.92,-,0,0,9,0,3,Batsman
J Srinath,1992-2003,34,18,9,85,18,9.44,80,106.25,0,0,3,5,2,India,283.2,21,1224,44,4/30,27.81,4.32,38.6,2,0,4,0,4,Bowler
SR Tendulkar,1992-2011,45,44,4,2278,152,56.95,2560,88.98,6,15,2,241,27,India,120,1,539,8,2/28,67.37,4.49,90,0,0,12,0,6,Batsman
Yuvraj Singh,2003-2011,23,21,7,738,113,52.71,817,90.33,1,7,2,68,13,India,92.3,4,462,20,5/31,23.1,4.99,27.7,1,1,4,0,3,All Rounder
CO Obuya,2003-2011,18,15,2,362,98*,27.84,528,68.56,0,2,1,27,9,Kenya,92.3,4,462,14,5/24,33,4.99,39.6,0,1,6,0,3,All Rounder
MO Odumbe,1996-2003,19,18,3,452,82,30.13,618,73.13,0,3,2,35,2,Kenya,116.5,9,567,18,4/38,31.5,4.85,38.9,1,0,3,0,3,All Rounder
SO Tikolo,1996-2011,28,27,1,768,96,29.53,1128,68.08,0,8,1,78,10,Kenya,95.3,3,512,15,3/14,34.13,5.36,38.2,0,0,10,0,5,All Rounder
MG Bevan,1996-2003,26,18,6,537,74*,44.75,834,64.38,0,5,1,35,5,Australia,50,2,237,4,2/35,59.25,4.74,75,0,0,6,0,3,Batsman
DC Boon,1987-1992,16,16,1,815,100,54.33,1117,72.96,2,5,0,72,5,Australia,1,0,17,0,-,-,17,-,0,0,2,0,2,Batsman
AR Border,1979-1992,25,24,0,452,67,18.83,640,70.62,0,1,2,39,0,Australia,73,1,342,9,2/27,38,4.68,48.6,0,0,10,0,4,All Rounder
MJ Clarke,2007-2015,25,21,7,888,93*,63.42,943,94.16,0,8,0,85,11,Australia,30,0,150,3,2/33,50,5,60,0,0,12,0,3,Batsman
PJ Cummins,2015-2019,12,9,2,58,23*,8.28,98,59.18,0,0,1,4,0,Australia,99.2,7,507,19,3/33,26.68,5.1,31.3,0,0,6,0,2,Bowler
AJ Finch,2015-2019,18,18,0,787,153,43.72,801,98.25,3,4,2,73,24,Australia,3,0,20,1,1/13,20,6.66,18,0,0,11,0,2,Batsman
DW Fleming,1996-1999,16,4,2,12,8*,6,17,70.58,0,0,2,0,0,Australia,133.2,12,583,26,5/36,22.42,4.37,30.7,0,1,5,0,2,Bowler
AC Gilchrist,1999-2007,31,31,1,1085,149,36.16,1107,98.01,1,8,1,141,19,Australia,-,-,-,-,-,-,-,-,-,-,45,7,3,Wicket Keeper
BJ Haddin,2011-2015,15,11,2,458,88,50.88,501,91.41,0,4,0,56,9,Australia,-,-,-,-,-,-,-,-,-,-,29,0,2,Wicket Keeper
ML Hayden,2003-2007,22,21,2,987,158,51.94,1062,92.93,3,2,0,106,23,Australia,-,-,-,-,-,-,-,-,-,-,7,0,2,Batsman
IA Healy,1992-1996,14,11,2,110,31,12.22,124,88.7,0,0,1,6,1,Australia,-,-,-,-,-,-,-,-,-,-,18,3,2,Wicket Keeper
GB Hogg,2003-2007,21,9,4,87,40*,17.4,83,104.81,0,0,2,6,3,Australia,158.3,10,654,34,4/27,19.23,4.12,27.9,2,0,8,0,2,Bowler
MG Johnson,2011-2015,15,8,5,56,27*,18.66,39,143.58,0,0,2,7,1,Australia,121,9,557,25,4/19,22.28,4.6,29,3,0,5,0,2,Bowler
DM Jones,1987-1992,16,16,2,590,90,42.14,811,72.74,0,5,0,27,12,Australia,1,0,5,0,-,-,5,-,0,0,6,0,2,Batsman
B Lee,2003-2011,17,4,1,28,15*,9.33,43,65.11,0,0,0,1,2,Australia,137.3,15,629,35,5/42,17.97,4.57,23.5,2,1,12,0,3,Bowler
DS Lehmann,1999-2003,19,16,5,360,76,32.72,444,81.08,0,3,1,34,3,Australia,38,0,155,6,2/22,25.83,4.07,38,0,0,2,0,2,All Rounder
CJ McDermott,1987-1996,17,11,0,43,14,3.9,58,74.13,0,0,2,2,1,Australia,149,8,599,27,5/44,22.18,4.02,33.1,1,1,4,0,3,Bowler
GD McGrath,1996-2007,39,4,3,3,3*,3,5,60,0,0,1,0,0,Australia,325.5,42,1292,71,7/15,18.19,3.96,27.5,0,2,5,0,4,Bowler
GR Marsh,1987-1992,13,13,1,579,126*,48.25,987,58.66,2,2,0,43,5,Australia,-,-,-,-,-,-,-,-,-,-,2,0,2,Batsman
