Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,Country,Role
M Azharuddin,7,5,2,190,64,63.33,241,78.83,0,2,0,19,1,India,1987,23.5,0,109,5,3/19,21.80,4.57,28.6,0,0,2,0,INDIA,Batsman
M Azharuddin,8,7,0,332,93,47.42,425,78.11,0,4,1,29,1,India,1992,-,-,-,-,-,-,-,-,-,-,1,0,INDIA,Batsman
M Azharuddin,7,6,1,143,72*,28.60,194,73.71,0,1,1,10,1,India,1996,-,-,-,-,-,-,-,-,-,-,3,0,INDIA,Batsman
M Azharuddin,8,7,1,161,59,26.83,206,78.15,0,1,0,11,2,India,1999,-,-,-,-,-,-,-,-,-,-,5,0,INDIA,Batsman
DC Boon,8,8,0,447,93,55.87,583,76.67,0,5,0,38,3,Australia,1987,1.0,0,17,0,-,-,17.00,-,0,0,2,0,AUS,Batsman
DC Boon,8,8,1,368,100,52.57,534,68.91,2,0,0,34,2,Australia,1992,-,-,-,-,-,-,-,-,-,-,0,0,AUS,Batsman
AR Border,8,8,0,183,67,22.87,225,81.33,0,1,0,16,0,Australia,1987,32.0,0,166,6,2/27,27.66,5.18,32.0,0,0,1,0,AUS,All Rounder
AR Border,8,7,0,60,22,8.57,85,70.58,0,0,1,4,0,Australia,1992,14.0,0,53,1,1/40,53.00,3.78,84.0,0,0,5,0,AUS,All Rounder
EA Brandes,4,3,2,21,18*,21.00,15,140.00,0,0,1,1,2,Zimbabwe,1987,33.0,4,154,2,2/44,77.00,4.66,99.0,0,0,2,0,ZIM,Bowler
EA Brandes,8,6,1,71,23,14.20,101,70.29,0,0,0,5,1,Zimbabwe,1992,70.1,7,355,14,4/21,25.35,5.05,30.0,1,0,2,0,ZIM,Bowler
EA Brandes,2,1,0,7,7,7.00,13,53.84,0,0,0,1,0,Zimbabwe,1996,15.0,0,77,0,-,-,5.13,-,0,0,0,0,ZIM,Bowler
EA Brandes,2,2,1,21,19*,21.00,34,61.76,0,0,0,1,1,Zimbabwe,1999,11.0,0,55,0,-,-,5.00,-,0,0,1,0,ZIM,Bowler
MD Crowe,6,6,0,222,72,37.00,235,94.46,0,3,0,21,1,NewZealand,1987,-,-,-,-,-,-,-,-,-,-,4,0,NZ,Batsman
MD Crowe,9,9,5,456,100*,114.00,502,90.83,1,4,0,45,6,NewZealand,1992,1.0,0,6,0,-,-,6.00,-,0,0,3,0,NZ,Batsman
PA de Silva,6,6,2,101,42,25.25,135,74.81,0,0,0,5,1,SriLanka,1987,42.0,0,217,3,2/43,72.33,5.16,84.0,0,0,2,0,SL,All Rounder
PA de Silva,8,7,0,175,62,25.00,257,68.09,0,1,0,9,0,SriLanka,1992,1.0,0,6,0,-,-,6.00,-,0,0,1,0,SL,All Rounder
PA de Silva,6,6,1,448,145,89.60,416,107.69,2,2,0,57,7,SriLanka,1996,17.0,0,87,4,3/42,21.75,5.11,25.5,0,0,4,0,SL,All Rounder
PA de Silva,5,5,0,73,56,14.60,122,59.83,0,1,1,9,0,SriLanka,1999,17.0,0,85,0,-,-,5.00,-,0,0,1,0,SL,All Rounder
PA de Silva,10,8,0,267,92,33.37,299,89.29,0,2,1,27,7,SriLanka,2003,58.0,2,276,9,2/36,30.66,4.75,38.6,0,0,6,0,SL,All Rounder
GA Gooch,8,8,0,471,115,58.87,670,70.29,1,3,0,45,0,England,1987,15.0,1,79,1,1/42,79.00,5.26,90.0,0,0,2,0,ENG,Batsman
GA Gooch,8,8,0,216,65,27.00,419,51.55,0,3,1,17,0,England,1992,-,-,-,-,-,-,-,-,-,-,1,0,ENG,Batsman
DL Haynes,6,6,0,219,105,36.50,352,62.21,1,0,0,20,1,WestIndies,1987,-,-,-,-,-,-,-,-,-,-,1,0,WI,Batsman
DL Haynes,7,7,1,251,93*,41.83,443,56.65,0,1,0,23,2,WestIndies,1992,-,-,-,-,-,-,-,-,-,-,4,0,WI,Batsman
CL Hooper,6,5,2,42,22,14.00,65,64.61,0,0,0,4,0,WestIndies,1987,41.0,0,181,7,3/42,25.85,4.41,35.1,0,0,4,0,WI,All Rounder
CL Hooper,8,7,1,120,63,20.00,180,66.66,0,1,1,9,1,WestIndies,1992,80.0,2,312,8,2/19,39.00,3.90,60.0,0,0,4,0,WI,All Rounder
CL Hooper,6,6,1,99,45,19.80,124,79.83,0,0,1,3,1,WestIndies,2003,33.0,1,166,3,2/63,55.33,5.03,66.0,0,0,5,0,WI,All Rounder
DL Houghton,6,6,0,226,142,37.66,274,82.48,1,1,1,19,6,Zimbabwe,1987,-,-,-,-,-,-,-,-,-,-,3,2,ZIM,Batsman
DL Houghton,8,7,0,165,55,23.57,340,48.52,0,1,0,11,0,Zimbabwe,1992,2.0,0,19,1,1/19,19.00,9.50,12.0,0,0,4,0,ZIM,Batsman
Imran Khan,7,6,0,147,58,24.50,177,83.05,0,1,0,11,1,Pakistan,1987,49.5,6,222,17,4/37,13.05,4.45,17.5,2,0,1,0,PAK,All Rounder
Imran Khan,8,6,0,185,72,30.83,351,52.70,0,1,1,13,4,Pakistan,1992,60.2,2,251,7,2/32,35.85,4.16,51.7,0,0,1,0,PAK,All Rounder
Javed Miandad,7,7,1,274,103,45.66,374,73.26,1,1,0,18,0,Pakistan,1987,3.0,0,5,1,1/5,5.00,1.66,18.0,0,0,1,1,PAK,Batsman
Javed Miandad,9,9,2,437,89,62.42,698,62.60,0,5,0,27,0,Pakistan,1992,-,-,-,-,-,-,-,-,-,-,1,0,PAK,Batsman
Javed Miandad,5,3,1,54,38,27.00,104,51.92,0,0,0,3,0,Pakistan,1996,-,-,-,-,-,-,-,-,-,-,3,0,PAK,Batsman
N Kapil Dev,7,5,2,152,72*,50.66,120,126.66,0,1,0,9,4,India,1987,62.0,6,259,5,2/38,51.80,4.17,74.4,0,0,5,0,INDIA,All Rounder
N Kapil Dev,8,8,1,161,42,23.00,128,125.78,0,0,0,15,3,India,1992,58.0,2,251,9,3/41,27.88,4.32,38.6,0,0,0,0,INDIA,All Rounder
TM Moody,3,3,1,10,8,5.00,22,45.45,0,0,0,1,0,Australia,1987,2.0,0,15,0,-,-,7.50,-,0,0,1,0,AUS,All Rounder
TM Moody,8,8,0,202,57,25.25,337,59.94,0,2,0,13,0,Australia,1992,49.0,2,225,7,3/56,32.14,4.59,42.0,0,0,2,0,AUS,All Rounder
TM Moody,7,5,4,117,56*,117.00,90,130.00,0,1,1,11,3,Australia,1999,51.0,5,220,7,3/25,31.42,4.31,43.7,0,0,2,0,AUS,All Rounder
KS More,6,4,3,59,42*,59.00,49,120.40,0,0,1,7,0,India,1987,-,-,-,-,-,-,-,-,-,-,6,5,INDIA,Wicket Keeper
KS More,8,6,2,41,15*,10.25,37,110.81,0,0,0,3,1,India,1992,-,-,-,-,-,-,-,-,-,-,6,1,INDIA,Wicket Keeper
